uid,smiles,similarity,Activity
NPA017927,CCC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCC(C(=O)NC(C(=O)NC(C(=O)N1)CC(C)C)CCN)NC(=O)C(CCN)NC(=O)C(C(C)O)NC(=O)C(CCN)NC(=O)CCCCC(C)CC)C(C)O)CCN)CCN,0.925925926,0.226638578
NPA012930,CC[C@H](C)CCCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCN)CC(C)C)C(C)C)CCN)CCN)C(C)O,0.914634146,0.221297899
NPA006001,CCCCCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCN)CC(C)C)CC(C)C)CCN)CCN)C(C)O,0.864197531,0.233497617
NPA013003,CC(C)CCCCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCN)CC(C)C)CC(C)C)CCN)CCN)C(C)O,0.851851852,0.226862272
NPA017349,CCC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCC(C(=O)NC(C(=O)NC(C(=O)N1)CC(C)C)CCN)NC(=O)C(CCN)NC(=O)C(C(C)O)NC(=O)C(CCN)NC(=O)CCCCC(C)C)C(C)O)CCN)CCN,0.843373494,0.230791629
NPA005907,CC(C)CCCCC(=O)NC(CCN)C(=O)NC(C(C)O)C(=O)NC(CCN)C(=O)NC1CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CCN)CC(C)C)C(C)C)CCN)CCN)C(C)O,0.821428571,0.228383436
NPA012237,CCCCCCCCCCCCCCCC(=O)NC1CC(C(NC(=O)C2C(C(CN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)C(C)O)O)C(C(C4=CC(=C(C=C4)O)OS(=O)(=O)O)O)O)C(CC(=O)N)O)C)O)O)O,0.7421875,0.327847641
NPA017769,CCC(C)CC(C)CCCCCCCCCCC(=O)NC1CC(C(NC(=O)C2C(C(CN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)C(C)O)O)C(C(C4=CC(=C(C=C4)O)OS(=O)(=O)O)O)O)C(CC(=O)N)O)C)O)O)O,0.688888889,0.257034659
NPA028495,CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(C(O)CC(N)=O)NC(=O)C(C(O)C(O)C2=CC(OS(=O)(=O)O)=C(O)C=C2)NC(=O)C2CC(O)CN2C(=O)C(C(C)O)NC1=O,0.688888889,0.237932132
NPA011881,CCCCCCCCCCCCCCCC(=O)NC1CC(C(NC(=O)C2C(C(CN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)C(C)O)O)C(CC4=CC(=C(C=C4)O)OS(=O)(=O)O)O)C(CC(=O)N)O)C)O)O)O,0.644444444,0.352727641
NPA020824,CC[C@H](C)CCCCCCCCCCC(=O)N[C@H]1C[C@@H]([C@@H](NC(=O)[C@H]2[C@@H]([C@@H](CN2C(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H]3C[C@@H](CN3C(=O)[C@H](NC1=O)[C@H](C)O)O)[C@H]([C@H](C4=CC=C(C=C4)O)O)O)CO)C)O)O)O,0.637931034,0.217581955
NPA021131,CCCCCCCCCCCCCCCC(=O)N[C@@H]1C[C@H]([C@@H](NC(=O)[C@H]2[C@@H]([C@@H](CN2C(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H]3C[C@@H](CN3C(=O)[C@H](NC1=O)[C@@H](C)O)O)[C@@H]([C@@H](C4=CC=C(C=C4)O)O)O)[C@@H](C)O)C)O)O)O,0.621621622,0.233607201
UNPD100081,CCCCCCCCCCCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(NC(=O)C(NC(=O)C3CC(O)CN3C(=O)C(NC1=O)C(C)O)C(O)C(O)c4ccc(O)cc4)C(C)O,0.621621622,0.204207746
NPA000469,CCCCCCCCCCCCCCCC(=O)NC1CC(C(NC(=O)C2C(C(CN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)C(C)O)O)C(CC4=CC(=C(C=C4)OS(=O)(=O)O)O)O)C(CC(=O)N)O)C)O)O)O,0.608695652,0.34606645
NPA002912,CCCCCCCCCCCCCCCC(=O)NC1CC(C(NC(=O)C2C(C(CN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)CO)O)C(CC4=CC(=C(C=C4)O)OS(=O)(=O)O)O)C(CC(=O)N)O)C)O)O)O,0.592857143,0.385964752
UNPD104413,CCCCCCCCCCCCCCCC(=O)NC1CCC(O)NC(=O)C2C(O)C(C)CN2C(=O)C(NC(=O)C(NC(=O)C3CC(O)CN3C(=O)C(NC1=O)C(C)O)C(O)Cc4ccc(O)c(OS(=O)(=O)O)c4)C(O)CC(=O)N,0.574468085,0.382576788
NPA004829,CCCCCCCCCCCCCCCC(=O)NC1CCC(NC(=O)C2C(C(CN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)C(C)O)O)C(CC4=CC(=C(C=C4)O)OS(=O)(=O)O)O)C(CC(=O)N)O)C)O)O,0.574468085,0.382576777
NPA006634,CCC(C)CCCCCCCCCCC(=O)NC1CC(C(NC(=O)C2C(C(CN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)C(C)O)O)C(CC4=CC=C(C=C4)O)O)CO)C)O)O)O,0.544715447,0.234119313
NPA006626,CCCCCCCCCCCCCCCC(=O)NC1CCC(NC(=O)C2C(C(CN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)CO)O)C(CC4=CC(=C(C=C4)O)OS(=O)(=O)O)O)C(CC(=O)N)O)C)O)O,0.52739726,0.370696056
UNPD106102,CCCCCCCCCCCCCCCCCC(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(NC(=O)C(NC(=O)C3CC(O)CN3C(=O)C(NC1=O)C(C)O)C(O)Cc4ccc(O)cc4)C(C)O,0.525423729,0.212269821
